"q15","q16","y3","y10","q14","Class"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat worsened","Significantly worsened","Somewhat improved","more.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Significantly worsened","more.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Significantly worsened","Somewhat improved","Significantly improved","more.productivity"
"Strongly disagree","Strongly disagree","Not a barrier for me","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Significantly improved","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Neither agree nor disagree","Strongly agree","Stayed about the same","Stayed about the same","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Somewhat worsened","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
